T(K),Fc,X,m(mol/kg),cp(J/gK),cpm(J/molK),,
189.7872335,0.904236101,0.302803065,25.50143677,4.368949765,77.52000503,,
189.8154205,0.904220262,0.302751912,25.49525816,3.565031526,63.25595184,,
189.8436075,0.904203737,0.302700753,25.48907975,4.373473792,77.60073384,,
189.871859,0.904187884,0.302649471,25.48288742,3.47633051,61.68245386,,
189.9006445,0.90417127,0.302597214,25.47657825,3.630399903,64.4163861,,
189.929003,0.904154789,0.302545726,25.47036288,4.033743201,71.57336295,,
189.9575485,0.90413865,0.302493892,25.46410673,3.356658375,59.55957861,,
189.9856705,0.904121939,0.302442822,25.4579436,4.587521744,81.39990282,,
190.013552,0.904106274,0.302392182,25.45183337,3.62549478,64.33011108,,
190.042124,0.904089824,0.302340283,25.44557202,3.591223637,63.72220068,,
190.070372,0.904073349,0.302288966,25.43938187,4.058733552,72.01784805,,
190.098532,0.904057258,0.302237803,25.4332112,3.742877334,66.4135159,,
190.12702,0.904040869,0.302186038,25.42696885,3.673533547,65.1832759,,
190.155363,0.904024385,0.302134531,25.42075847,3.993779975,70.86594713,,
190.1836645,0.904008148,0.302083093,25.41455737,3.758020178,66.68280421,,
190.211779,0.903991697,0.302031988,25.40839743,4.280639784,75.95645874,,
190.2398895,0.903975662,0.301980886,25.40223856,3.81080225,67.61977422,,
190.268515,0.9039592,0.301928841,25.39596704,3.630654924,64.42339063,,
190.296961,0.903942554,0.301877116,25.38973504,4.101257035,72.77410731,,
190.325205,0.903926285,0.301825752,25.38354747,3.940090084,69.91451261,,
190.3534375,0.903909858,0.301774403,25.37736261,4.149416774,73.62910568,,
190.3816475,0.903893587,0.30172309,25.37118286,4.008075146,71.12128681,,
190.4103115,0.903877171,0.301670944,25.36490383,3.57718122,63.47548042,,
190.438723,0.903860359,0.301619251,25.3586803,4.376492235,77.65912796,,
190.4671425,0.903844221,0.301567537,25.35245519,3.556068336,63.10121748,,
190.495528,0.903827384,0.30151588,25.3462377,4.399442062,78.06682827,,
190.52352,0.90381127,0.301464932,25.34010658,4.057620807,72.0015201,,
190.551905,0.903794875,0.301413263,25.33388955,3.819010922,67.76764584,,
190.5800005,0.903778289,0.301362114,25.3277361,4.408613608,78.23026738,,
190.6082865,0.903762215,0.301310613,25.32154109,3.529642153,62.63322052,,
190.6367095,0.903745393,0.301258856,25.31531625,4.199838242,74.52601915,,
190.6648085,0.903729145,0.301207683,25.30916253,3.935412306,69.83399366,,
190.693396,0.903712684,0.301155614,25.30290199,3.478781822,61.73125893,,
190.7221815,0.903695852,0.301103178,25.29659826,3.586007467,63.63417863,,
190.7507115,0.903679145,0.3010512,25.29035065,3.752850864,66.59503617,,
190.778761,0.903662595,0.301000092,25.28420841,4.211881889,74.740847,,
190.807211,0.903646433,0.300948248,25.27797864,3.215145357,57.05369023,,
190.835741,0.9036294,0.300896252,25.27173151,4.100651381,72.76747024,,
190.863886,0.903613129,0.300844951,25.26556883,3.733730235,66.25652392,,
190.892367,0.90359653,0.300793032,25.25933274,3.638961012,64.57499952,,
190.920962,0.903579852,0.300740898,25.25307185,3.554599787,63.07816101,,
190.949431,0.903563104,0.300688987,25.24683869,3.79766922,67.39175178,,
190.977732,0.903546557,0.300637376,25.24064247,3.774322223,66.97764538,,
191.0057165,0.90352999,0.300586336,25.23451568,4.196451293,74.46880156,,
191.0338805,0.903513799,0.300534963,25.22834975,3.475919622,61.68267332,,
191.062323,0.903497006,0.300483075,25.22212299,3.766067087,66.83174675,,
191.0903575,0.903480473,0.300431925,25.21598569,4.013955042,71.23091828,,
191.1188685,0.903464143,0.300379899,25.20974421,3.156640796,56.01734295,,
191.147654,0.903447036,0.300327366,25.2034428,3.667909336,65.09044581,,
191.1758295,0.903430368,0.300275939,25.19727505,3.999210941,70.96990955,,
191.2041195,0.903413961,0.300224297,25.19108238,3.554114815,63.07143103,,
191.2327715,0.903397143,0.300171987,25.1848106,3.528205766,62.61183682,,
191.2610115,0.903380295,0.300120423,25.17862915,4.095881781,72.68607902,,
191.289328,0.903363945,0.300068713,25.17243108,3.392240574,60.19934504,,
191.3177435,0.903346991,0.300016816,25.16621148,3.915239877,69.48079754,,
191.345976,0.90333051,0.299965246,25.16003206,3.589630397,63.7026418,,
191.3747045,0.903313755,0.299912764,25.15374421,3.220407561,57.15047694,,
191.4027845,0.903296674,0.299861459,25.14759842,4.466795409,79.26954502,,
191.4305745,0.903280668,0.299810679,25.14151623,3.587105116,63.65839395,,
191.4591505,0.903263913,0.299758455,25.13526214,3.373280949,59.86395334,,
191.487929,0.903246964,0.299705854,25.12896385,3.305202477,58.65597592,,
191.516459,0.903229954,0.299653701,25.12272008,3.693339763,65.54427458,,
191.544512,0.903213283,0.299602413,25.11658081,3.95685024,70.22090063,,
191.572569,0.90319682,0.299551112,25.11044079,3.719112566,66.00204443,,
191.601141,0.903180128,0.299498862,25.10418818,3.304355848,58.64165005,,
191.6298355,0.90316304,0.299446381,25.09790888,3.587243706,63.66218875,,
